取込対象	内部振替	OCR元ファイルID	OCR元ファイル名	ページ	行番号	日付	金額	摘要	相手	科目	OCR方式
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	1	308	2025-06-02	397384	長期借入金 笠信長期4000保証	会 笠岡信用組合	笠信 長期借入金 4.000万円 保証協 諸口	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	1	310	2025-06-02	2200600	笠信 長期借入金 長期借入金 笠信2億 1.670.0	笠岡信用組合	諸口	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	1	319	2025-06-02	240940	長期借入返済 一年内長期借入金 広島238000	広島銀行②	諸口	embedded_text
N	Y	140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	1	48	2025-06-03	600000	資金移動 資金移動	笠岡信用組合	現金	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	1	317	2025-06-03	195360		三井住友FL（SM 三井住友FL（SM もみじ福山支店 その他 CB 仕課内10	コンプレッサー・リフト再リース1年分 コンプレッサー・リフト再リース1年分 リース料（販）	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	1	34	2025-06-04	88000	未来経営福山事務所 5月分 未来経営福山事務所 5月分	笠岡信用組合 本社 仕共内10	顧問料	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	1	35	2025-06-04	550	手数料 手数料	笠岡信用組合 課税31 本社 仕共内10	支払手数料	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	1	40	2025-06-04	53240	ﾘｺｰﾘｰｽ PCﾘｰｽ料 各店舗 本社 リース料（販） リコーリース31	もみじ福山支店	諸口	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	1	44	2025-06-09	1210	手数料 法人IB 手数料 法人IB	広島信用金庫 課税31 本社 仕共内10	支払手数料	embedded_text
N	Y	140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	1	50	2025-06-09	1000000	広銀蔵王よりもみじへ資金移動 もみじへ資金移動	もみじ福山支店 広島(蔵王) 本社	普通預金(入金)	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	2	52	2025-06-10	125064	給与 藤本吉則 5月分 給与 藤本吉則 5月分	笠岡信用組合 給料	未払金	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	2	53	2025-06-10	208652	給与 鳥越翔太 5月分 給与 鳥越翔太 5月分	笠岡信用組合 給料	未払金	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	2	54	2025-06-10	161150	給与 但井智哉 5月分 給与 但井智哉 5月分	笠岡信用組合 給料	未払金	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	2	55	2025-06-10	159147	給与 宮崎亜希子 5月分 給与 宮崎亜希子 5月分	笠岡信用組合 給料	未払金	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	2	56	2025-06-10	700000	橋本祥子取締役 仮受金 橋本祥子取締役 仮受金	笠岡信用組合	仮受金	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	2	58	2025-06-10	1650	B-WEB基本手数料 B-WEB基本手数料	広島銀行② 課税31 本社 仕共内10	支払手数料	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	2	59	2025-06-10	2530	B-WEB伝送基本手数料 B-WEB伝送基本手数料	広島銀行② 課税31 本社 仕共内10	支払手数料	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	2	60	2025-06-10	9570	B-WEB振込手数料 B-WEB振込手数料	広島銀行② 課税31 本社 仕共内10	支払手数料	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	2	61	2025-06-10	325163	給与 桒原裕樹 5月分 給与 桒原裕樹 5月分	広島銀行② 給料	未払金	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	2	62	2025-06-10	259210	髙田自動車 5月分 髙田自動車 5月分	広島銀行② 高田	未払金	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	2	63	2025-06-10	130000	給与 桒原裕樹 5月分 給与 桒原裕樹 5月分	広島銀行② 給料	未払金	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	2	67	2025-06-10	330	中国銀行 残高証明 中国銀行 残高証明	中国銀行 課税31 本社 仕共内10	支払手数料	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	2	68	2025-06-10	3850	FBｻｰﾋﾞｽ手数料 FBｻｰﾋﾞｽ手数料	中国銀行 課税31 本社 仕共内10	支払手数料	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	2	69	2025-06-10	660	振込手数料 振込手数料	もみじ福山支店 課税31 本社 仕共内10	支払手数料	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	2	70	2025-06-10	3630	IB手数料 IB手数料	もみじ福山支店 課税31 本社 仕共内10	支払手数料	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	2	71	2025-06-10	330	もみじ 残高証明 もみじ 残高証明	もみじ福山支店 課税31 本社 仕共内10	支払手数料	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	2	74	2025-06-10	87960	給与 木本理恵子 5月分 給与 木本理恵子 5月分	もみじ福山支店 給料	未払金	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	2	76	2025-06-10	14600	田中賢治様 ﾘｰｽ料 田中賢治様 ﾘｰｽ料	広島銀行② 田中賢治シェア31 CB 免80仕課内10	リース料（販）	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	2	81	2025-06-10	15805		ﾏｰｹﾃｨﾝｸﾞ様 ﾏｰｹﾃｨﾝｸﾞ様 中国銀行 預かり法定費用	東京海上日動火災保険㈱ 自賠責 ㈱by 東京海上日動火災保険㈱ 自賠責 ㈱by 06/12 預り金	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	2	145	2025-06-10	170000	銚子部長 本社 委託報酬	広島銀行②	諸口	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	2	160	2025-06-10	209532	ﾀﾞｲﾅｰｽ 4/16 ﾜｲﾝﾗﾎﾞ、他 本社 販売促進費 納車時経費31	もみじ福山支店	諸口	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	2	162	2025-06-10	1109555	短期借入金 橋本慎吾	景品 笠岡信用組合	ﾀﾞｲﾅｰｽ 4/19 ﾀﾞｲﾅﾏｲﾄ福山店 ｺﾝﾍﾟ 諸口	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	2	247	2025-06-10	375741	預り金 預かり法定費用	、他 もみじ福山支店	ﾀﾞｲﾅｰｽ 4/14 関根様車検代 SB23714 諸口	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	2	321	2025-06-10	9628	CB 事務所維持費 その他	洗浄スプレー ﾎﾟﾘ袋 広島銀行②	ｱｽｸﾙ 5月 ﾄｲﾚｼｰﾄ ﾊｲﾀｰ ｽﾄﾛｰ 消臭 諸口	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	2	82	2025-06-13	5000	福山遠鐘ｸﾗﾌﾞ 年会費 福山遠鐘ｸﾗﾌﾞ 年会費	広島銀行② 本社 対象外	諸会費	embedded_text
N	Y	140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	2	85	2025-06-13	1000000	小口現金より広銀本社へ資金移動 広銀本社へ資金移動	広島銀行② 蔵王	小口現金BR	embedded_text
N	Y	140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	3	86	2025-06-13	900000	小口現金より広銀本社へ資金移動 広銀本社へ資金移動	広島銀行② 蔵王	小口現金BR	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	3	88	2025-06-13	138826		数料 数料 笠岡信用組合 CB 売内10	三井住友海上火災保険㈱ 代理店保険手 三井住友海上火災保険㈱ 代理店保険手 06/16 保険手数料	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	3	89	2025-06-13	73547	中銀ｶｰﾄﾞJCB 中銀ｶｰﾄﾞJCB ㈲ｽﾊﾞﾙ様 SB23827	中国銀行 整備	売掛金	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	3	90	2025-06-13	463494	中銀ｶｰﾄﾞ VISA	中国銀行	諸口	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	3	91	2025-06-13	42680	ｷﾑﾗﾕﾆﾃｨ様 SB23815 ｷﾑﾗﾕﾆﾃｨ様 SB23815	もみじ福山支店 整備	売掛金	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	3	104	2025-06-17	31808	東京海上日動 代理店保険手数料 東京海上日動 代理店保険手数料	中国銀行 CB 売内10	保険手数料	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	3	100	2025-06-18	1100	手数料 手数料	笠岡信用組合 課税31 本社 仕共内10	支払手数料	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	3	106	2025-06-18	31830		製菓様 中国銀行	東京海上日動火災保険㈱ 自賠責 宇田 06/19 諸口	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	3	109	2025-06-18	1300000		ﾆｰ様車両代 ﾆｰ様車両代 広島銀行② その他	㈱ｱﾄﾞｸﾞﾗﾌｨｰ様 ﾎﾟﾙｼｪﾏｶﾝ ｽﾋﾟﾝｸﾞﾙｶﾝﾊﾟ ㈱ｱﾄﾞｸﾞﾗﾌｨｰ様 ﾎﾟﾙｼｪﾏｶﾝ ｽﾋﾟﾝｸﾞﾙｶﾝﾊﾟ 買掛金	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	3	312	2025-06-18	1592	広信 配当金 出資 広信 配当金 出資	広島信用金庫 本社	受取配当金	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	3	110	2025-06-20	4202	水道代 CB J＆LR （広銀引落） 水道代 CB J＆LR （広銀引落）	広島銀行② 水道料金31 CB 仕課内10	水道光熱費	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	3	111	2025-06-20	3938	水道代 ﾏｾﾗﾃｨ 水道代 ﾏｾﾗﾃｨ	もみじ福山支店 水道料金31 ﾏｾﾗﾃｨ福山-車両仕課内10	水道光熱費	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	3	112	2025-06-20	17247	水道代 本社ﾋﾞﾙ 水道代 本社ﾋﾞﾙ	もみじ福山支店 水道料金31 本社 仕共内10	水道光熱費	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	3	113	2025-06-20	5000		広島銀行② その他	dyﾏｰｹﾃｨﾝｸﾞ様 希望番号 Q2 SA029603 dyﾏｰｹﾃｨﾝｸﾞ様 希望番号 Q2 SA029603 預り金	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	3	114	2025-06-20	25759	本社 支払保険料 三井住友海上34	対物保険料 NC15146133 中国銀行	三井住友海上火災保険㈱ 販売車 対人 諸口	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	3	119	2025-06-23	7918	ｷｬﾉﾝ ﾏｾﾗﾃｨ ｺﾋﾟｰ使用料 ｷｬﾉﾝ ﾏｾﾗﾃｨ ｺﾋﾟｰ使用料	もみじ福山支店 SMBCキャノン31 ﾏｾﾗﾃｨ福山-車両仕課内10	事務所維持費	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	3	123	2025-06-23	33000	SMBC(ﾌﾟﾛﾄｺｰﾎﾟﾚｰｼｮﾝ）5月分 SMBC(ﾌﾟﾛﾄｺｰﾎﾟﾚｰｼｮﾝ）5月分	笠岡信用組合 フ゜ ロトコーホ CB 仕課内10	販売促進費	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	3	124	2025-06-23	4775	笠信 出資配当 笠信 出資配当	笠岡信用組合 本社	受取配当金	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	3	322	2025-06-23	10000	笠信 収入印紙 笠信 収入印紙	笠岡信用組合 印紙 本社	租税公課	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	3	136	2025-06-25	31720		愛運輸様 ㈱ﾌﾞﾘｯｼﾞ 中国銀行	東京海上日動火災保険㈱ 自賠責 ㈲三 06/26 諸口	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	3	137	2025-06-25	2833	まるとく 本社ｺﾋﾟｰ機 まるとく 本社ｺﾋﾟｰ機	もみじ福山支店 その他31 本社 仕共内10	事務所維持費	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	3	138	2025-06-25	3900	中国新聞 中国新聞	もみじ福山支店 本社 軽仕共内8	新聞図書費	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	3	248	2025-06-25	220000	ﾘｰｽ ｿﾚｲﾕ Soleil（松尾様）MC20 ﾘｰｽ ｿﾚｲﾕ Soleil（松尾様）MC20	笠岡信用組合 合同会社 Soleil CB 仕課内10	リース料（販）	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	3	249	2025-06-25	172790	三井住友海上 損害保険 三井住友海上 損害保険	笠岡信用組合 三井住友海上34 本社	支払保険料	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	3	313	2025-06-25	46680	ｿﾌﾄﾊﾞﾝｸ㈱ 5月分 ｿﾌﾄﾊﾞﾝｸ㈱ 5月分	広島銀行② 本社 仕共内10	通信費	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	3	314	2025-06-25	4400	㈱ﾕﾆﾏｯﾄﾗｲﾌ ﾏｯﾄ代 ㈱ﾕﾆﾏｯﾄﾗｲﾌ ﾏｯﾄ代	もみじ福山支店 来客時経費31 ﾏｾﾗﾃｨ福山-車両仕課内10	販売促進費	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	4	146	2025-06-27	84678	富士生命 富士生命	笠岡信用組合 ＦＷＤ富士生命 本社	支払保険料	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	4	148	2025-06-27	9189220		CH3787 CH3787 広島銀行② 車両	㈱ｽﾋﾟﾝｸﾞﾙｶﾝﾊﾟﾆｰ様 ﾎﾟﾙｼｪﾏｶﾝ(B45708) ㈱ｽﾋﾟﾝｸﾞﾙｶﾝﾊﾟﾆｰ様 ﾎﾟﾙｼｪﾏｶﾝ(B45708) 売掛金	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	4	149	2025-06-27	270809	S5.084582㈱ロペライオ様 S5.084582㈱ロペライオ様	広島銀行② その他	売掛金	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	4	151	2025-06-27	12980	USS支払手数料 USS支払手数料	中国銀行 CB 仕課内10	オークション手数	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	4	152	2025-06-27	4620	ｶｰｾﾌﾞﾝﾃﾞｼﾞﾌｨｰﾙﾄﾞ ｲﾝｽﾏｰﾄｼｽﾃﾑ ｶｰｾﾌﾞﾝﾃﾞｼﾞﾌｨｰﾙﾄﾞ ｲﾝｽﾏｰﾄｼｽﾃﾑ	もみじ福山支店 CB 仕課内10	業務委託費	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	4	154	2025-06-27	6015	ﾁｭｰﾘｯﾋ生命様 ﾁｭｰﾘｯﾋ生命様	もみじ福山支店 その他34 本社	支払保険料	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	4	155	2025-06-27	27293	ｵﾘｺ ｶｰｻ ｺﾋﾟｰ機 ｵﾘｺ ｶｰｻ ｺﾋﾟｰ機	もみじ福山支店 オリコ複合機31 ｶｰｻ岡山-車両 仕課内8	リース料（販）	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	4	156	2025-06-27	58201	あんしん生命 あんしん生命	もみじ福山支店 あんしん生命34 本社	支払保険料	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	4	158	2025-06-27	99000	オリコ.JCM/ジョーカー利用料 オリコ.JCM/ジョーカー利用料	もみじ福山支店 ジョーカー利用料本社 仕共内10	IT費	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	4	159	2025-06-27	13200	貸金庫料 貸金庫料	笠岡信用組合 課税31 本社 仕共内10	支払手数料	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	4	164	2025-06-27	11286120		ｪﾏｶﾝ 車両代 ｪﾏｶﾝ 車両代 広島銀行② その他	㈱ｱﾄﾞｸﾞﾗﾌｨｰ様 ｽﾋﾟﾝｸﾞﾙｶﾝﾊﾟﾆｰ様 ﾎﾟﾙｼ ㈱ｱﾄﾞｸﾞﾗﾌｨｰ様 ｽﾋﾟﾝｸﾞﾙｶﾝﾊﾟﾆｰ様 ﾎﾟﾙｼ 買掛金	embedded_text
N	Y	140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	4	165	2025-06-27	7000000	広銀蔵王より広銀本社へ資金移動 広銀本社へ資金移動	広島銀行② 広島(蔵王) CB	普通預金(入金)	embedded_text
N	Y	140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	4	166	2025-06-27	3500000	広銀本社から笠信へ資金移動 笠信へ資金移動	笠岡信用組合 広島銀行②	普通預金	embedded_text
N	Y	140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	4	170	2025-06-27	1732402	広銀入船より広銀本社へ資金移動 広銀本社へ資金移動	広島銀行② 広島(入船) 本社	普通預金(入金)	embedded_text
N	Y	140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	4	171	2025-06-27	2500000	広銀本社からもみじへ資金移動 もみじへ資金移動	もみじ福山支店 広島銀行②	普通預金	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	4	315	2025-06-27	67440	本社 賃借料 住吉町家賃（三和	吉町家賃 もみじ福山支店	DF.ア－クシステムSP 三和地所様 住 諸口	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	4	316	2025-06-27	5000	福山法人会 会費 福山法人会 会費	もみじ福山支店 本社 対象外	諸会費	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	4	175	2025-06-30	100684	笠信 貸付利息 笠信 貸付利息	笠岡信用組合 支払利息34 本社	支払利息	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	4	178	2025-06-30	716858	社会保険料 5月分 社会保険料 5月分	笠岡信用組合 社会保険料 本社	法定福利費	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	4	179	2025-06-30	320135	笠信 支払利息 （手形貸付）3件分 笠信 支払利息 （手形貸付）3件分	笠岡信用組合 支払利息34 本社	支払利息	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	4	185	2025-06-30	74292	中銀ｶｰﾄﾞ JCB	中国銀行	諸口	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	4	186	2025-06-30	524526	中銀ｶｰﾄﾞ VISA	中国銀行	諸口	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	4	187	2025-06-30	30575	融資利息 融資利息	もみじ福山支店 支払利息34 本社	支払利息	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	4	188	2025-06-30	204164	融資利息 融資利息	もみじ福山支店 支払利息34 本社	支払利息	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	5	189	2025-06-30	6200	継続融資 印紙代 継続融資 印紙代	もみじ福山支店 印紙 本社	租税公課	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	5	190	2025-06-30	404000	長期借入返済 長期借入返済	もみじ福山支店 もみじ404000	長期借入金	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	5	191	2025-06-30	49270	融資利息 融資利息	もみじ福山支店 支払利息34 本社	支払利息	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	5	192	2025-06-30	890000	長期借入返済 長期借入返済	もみじ福山支店 もみじ890000	長期借入金	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	5	193	2025-06-30	135915	融資利息 融資利息	もみじ福山支店 支払利息34 本社	支払利息	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	5	194	2025-06-30	2200	ﾋﾞｰﾌｨｰﾙﾄﾞ ﾋﾞｰﾌｨｰﾙﾄﾞ	もみじ福山支店 コアシステムス゛本社 仕共内10	事務所維持費	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	5	195	2025-06-30	68465	日本政策公庫 日本政策公庫	もみじ福山支店 支払利息34 本社	支払利息	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	5	196	2025-06-30	80104	日本政策公庫 日本政策公庫	もみじ福山支店 支払利息34 本社	支払利息	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	5	197	2025-06-30	127150	日本政策公庫 日本政策公庫	もみじ福山支店 支払利息34 本社	支払利息	embedded_text
