2026/04/13	諸口	該当なし EBフリコミ	-1100.0			対象外	2026/04			該当なし EBフリコミ			該当なし EBフリコミ	該当なし EBフリコミ					
2026/04/13	消耗品費	更衣ロッカー合鍵作成　�感ｽｴﾌ	-1100.0			対象外	2026/04			更衣ロッカー合鍵作成　�感ｽｴﾌ			更衣ロッカー合鍵作成　�感ｽｴﾌ	更衣ロッカー合鍵作成　�感ｽｴﾌ					
2026/04/14	諸口	該当なし ソンポジヤパン	198000.0			要確認	2026/04			該当なし ソンポジヤパン	2833.0	0.0	該当なし ソンポジヤパン	該当なし ソンポジヤパン					
2026/04/15	諸口	該当なし 振込1 キムラユニテイ− カ	14520.0		KK00003002	要確認	2026/04			該当なし 振込1 キムラユニテイ− カ	2837.0	0.0	該当なし 振込1 キムラユニテイ− カ	該当なし 振込1 キムラユニテイ− カ					
2026/04/15	売掛金	㈱ﾃﾞｲﾜｲﾏｰｹﾃｨﾝｸﾞ様　SB24539	50270.0	SB00024539	KK00005321	自動消込	2026/04			㈱ﾃﾞｲﾜｲﾏｰｹﾃｨﾝｸﾞ様　SB24539	2834.0	0.0	㈱ﾃﾞｲﾜｲﾏｰｹﾃｨﾝｸﾞ様　SB24539	㈱ﾃﾞｲﾜｲﾏｰｹﾃｨﾝｸﾞ様　SB24539					
2026/04/15	保険手数料	三井住友海上火災保険㈱代理店保険手数料	187886.0			対象外	2026/04			三井住友海上火災保険㈱代理店保険手数料	2838.0	0.0	三井住友海上火災保険㈱代理店保険手数料	三井住友海上火災保険㈱代理店保険手数料					
2026/04/15	諸口	該当なし チユウギンカードVIS	440822.0			未照合	2026/04		0.0	該当なし チユウギンカードVIS	2836.0	0.0	該当なし チユウギンカードVIS	該当なし チユウギンカードVIS					
2026/04/16	売掛金	損保ｼﾞｬﾊﾟﾝ　SB24564	75000.0	SB00024564	KK00000241	自動消込	2026/04			損保ｼﾞｬﾊﾟﾝ　SB24564	2835.0	0.0	損保ｼﾞｬﾊﾟﾝ　SB24564	損保ｼﾞｬﾊﾟﾝ　SB24564					
2026/04/17	諸口	本社 支払保険料 三井住友海上34	-39553.0			対象外	2026/04			三井住友海上火災保険㈱販売車　対人対物保険料			三井住友海上火災保険㈱販売車　対人対物保険料	三井住友海上火災保険㈱販売車　対人対物保険料					
2026/04/17	売掛金	三井住友海上火災保険㈱SB24559	210000.0	SB00024559	KK00001837	自動消込	2026/04			三井住友海上火災保険㈱SB24559	2857.0	0.0	三井住友海上火災保険㈱SB24559	三井住友海上火災保険㈱SB24559					
2026/04/20	諸口	該当なし CDカード	-1000000.0			対象外	2026/04			該当なし CDカード			該当なし CDカード	該当なし CDカード					
2026/04/20	未払消費税等	令和8年度　消費税及び地方消費税	-1000000.0			対象外	2026/04			令和8年度　消費税及び地方消費税			令和8年度　消費税及び地方消費税	令和8年度　消費税及び地方消費税					
2026/04/20	諸口	該当なし CDカード	-164900.0			対象外	2026/04			該当なし CDカード			該当なし CDカード	該当なし CDカード					
2026/04/20	未払消費税等	令和8年度　消費税及び地方消費税	-164900.0			対象外	2026/04			令和8年度　消費税及び地方消費税			令和8年度　消費税及び地方消費税	令和8年度　消費税及び地方消費税					
2026/04/20	諸口	該当なし CDカード	-150000.0			対象外	2026/04			該当なし CDカード			該当なし CDカード	該当なし CDカード					
2026/04/20	現金	広銀蔵王より現金へ資金移動	-150000.0			対象外	2026/04			現金へ資金移動			現金へ資金移動	現金へ資金移動					
2026/04/20	水道光熱費	水道代　本社ﾋﾞﾙ	-11374.0			対象外	2026/04			水道代　本社ﾋﾞﾙ			水道代　本社ﾋﾞﾙ	水道代　本社ﾋﾞﾙ					
2026/04/20	水道光熱費	水道代　ﾏｾﾗﾃｨ	-4521.0			対象外	2026/04			水道代　ﾏｾﾗﾃｨ			水道代　ﾏｾﾗﾃｨ	水道代　ﾏｾﾗﾃｨ					
2026/04/20	水道光熱費	水道代　CB J＆LR　（広銀引落）	-3630.0			対象外	2026/04			水道代　CB J＆LR　（広銀引落）			水道代　CB J＆LR　（広銀引落）	水道代　CB J＆LR　（広銀引落）					
2026/04/20	諸口	該当なし EBフリコミ	-1650.0			対象外	2026/04			該当なし EBフリコミ			該当なし EBフリコミ	該当なし EBフリコミ					
2026/04/20	租税公課	日本自動車査定協会広島県支所　3台分　自動車税減免	-1650.0			対象外	2026/04			日本自動車査定協会広島県支所　3台分　自動車税減免			日本自動車査定協会広島県支所　3台分　自動車税減免	日本自動車査定協会広島県支所　3台分　自動車税減免					
2026/04/20	支払手数料	手数料	-1100.0			対象外	2026/04			手数料			手数料	手数料					
2026/04/20	諸口	該当なし ミツイスミトモカイジヨウB	1132941.0	SB00024553	KK00000935	自動消込	2026/04			該当なし ミツイスミトモカイジヨウB	2874.0	0.0	該当なし ミツイスミトモカイジヨウB	該当なし ミツイスミトモカイジヨウB					
